ticker,close,date,high,low,month,open,volume,sector
ADANIENT,3049.75,2024-05-15 05:30:00,3118.85,3037.6,2024-05,3046.75,1688836,Conglomerate
ADANIENT,3117.5,2024-05-21 05:30:00,3175.0,3034.5,2024-05,3067.9,3091659,Conglomerate
ADANIENT,3244.05,2024-05-28 05:30:00,3329.5,3229.05,2024-05,3309.65,1621168,Conglomerate
ADANIENT,3041.65,2024-05-16 05:30:00,3076.95,2974.95,2024-05,3065.0,1835312,Conglomerate
ADANIENT,3384.95,2024-05-24 05:30:00,3457.85,3355.6,2024-05,3406.0,3473668,Conglomerate
ADANIENT,2860.55,2024-05-08 05:30:00,2890.9,2820.0,2024-05,2850.0,951411,Conglomerate
ADANIENT,3411.35,2024-05-31 05:30:00,3434.45,3225.25,2024-05,3225.25,6384589,Conglomerate
ADANIENT,3258.8,2024-05-29 05:30:00,3322.9,3212.0,2024-05,3250.0,1910729,Conglomerate
ADANIENT,3060.5,2024-05-17 05:30:00,3091.0,3015.5,2024-05,3041.05,825436,Conglomerate
ADANIENT,2835.95,2024-05-07 05:30:00,2905.35,2822.0,2024-05,2889.95,1262311,Conglomerate
ADANIENT,3140.95,2024-05-22 05:30:00,3145.0,3073.5,2024-05,3129.95,3371077,Conglomerate
ADANIENT,3194.25,2024-05-30 05:30:00,3274.3,3174.5,2024-05,3254.0,1990208,Conglomerate
ADANIENT,2797.25,2024-05-10 05:30:00,2809.0,2760.45,2024-05,2794.95,2354794,Conglomerate
ADANIENT,3037.55,2024-05-14 05:30:00,3046.0,2874.55,2024-05,2894.95,5725807,Conglomerate
ADANIENT,3019.35,2024-08-30 05:30:00,3038.55,3003.3,2024-08,3030.0,3509174,Conglomerate
ADANIENT,3040.1,2024-08-14 05:30:00,3085.7,3027.75,2024-08,3085.7,1232383,Conglomerate
ADANIENT,3151.75,2024-08-12 05:30:00,3169.85,3014.0,2024-08,3100.0,10307245,Conglomerate
ADANIENT,3160.9,2024-08-02 05:30:00,3215.0,3111.0,2024-08,3200.0,3360209,Conglomerate
ADANIENT,3020.15,2024-08-29 05:30:00,3041.95,2981.3,2024-08,3030.0,1853966,Conglomerate
ADANIENT,3187.55,2024-08-09 05:30:00,3219.3,3171.05,2024-08,3209.0,760165,Conglomerate
ADANIENT,3072.7,2024-08-06 05:30:00,3142.8,3057.25,2024-08,3084.0,2125201,Conglomerate
ADANIENT,3038.2,2024-08-05 05:30:00,3133.05,2996.3,2024-08,3085.0,2238921,Conglomerate
ADANIENT,3102.55,2024-08-19 05:30:00,3134.3,3092.95,2024-08,3122.05,557265,Conglomerate
ADANIENT,3069.0,2024-08-26 05:30:00,3090.0,3055.0,2024-08,3088.0,1632446,Conglomerate
ADANIENT,3185.95,2024-08-07 05:30:00,3190.0,3112.0,2024-08,3118.0,1868169,Conglomerate
ADANIENT,3217.25,2024-08-01 05:30:00,3258.0,3151.7,2024-08,3180.0,6149883,Conglomerate
ADANIENT,3092.2,2024-08-13 05:30:00,3178.1,3081.75,2024-08,3170.05,2192588,Conglomerate
ADANIENT,3076.35,2024-08-23 05:30:00,3123.0,3067.6,2024-08,3101.0,1375224,Conglomerate
ADANIENT,3115.7,2024-08-21 05:30:00,3153.3,3068.4,2024-08,3070.65,1379240,Conglomerate
ADANIENT,3070.65,2024-08-20 05:30:00,3126.0,3058.85,2024-08,3118.95,662263,Conglomerate
ADANIENT,3099.05,2024-08-22 05:30:00,3150.0,3091.0,2024-08,3130.75,1378912,Conglomerate
ADANIENT,3108.8,2024-08-16 05:30:00,3121.6,3039.35,2024-08,3070.0,970067,Conglomerate
ADANIENT,3028.0,2024-08-28 05:30:00,3078.0,3022.1,2024-08,3078.0,1569652,Conglomerate
ADANIENT,3167.55,2024-08-08 05:30:00,3242.65,3156.55,2024-08,3190.55,2139376,Conglomerate
ADANIENT,3067.1,2024-08-27 05:30:00,3095.75,3064.0,2024-08,3072.2,1310440,Conglomerate
ADANIENT,2883.95,2023-12-06 05:30:00,3154.55,2844.85,2023-12,3080.0,19355777,Conglomerate
ADANIENT,2894.05,2023-12-14 05:30:00,2932.95,2887.0,2023-12,2900.95,3224681,Conglomerate
ADANIENT,2799.75,2023-12-21 05:30:00,2821.95,2725.0,2023-12,2750.0,2678577,Conglomerate
ADANIENT,2531.2,2023-12-04 05:30:00,2595.0,2487.45,2023-12,2549.95,5681516,Conglomerate
ADANIENT,2887.15,2023-12-07 05:30:00,2945.9,2853.05,2023-12,2900.0,6325887,Conglomerate
ADANIENT,2941.25,2023-12-19 05:30:00,2994.35,2915.0,2023-12,2988.8,1741493,Conglomerate
ADANIENT,2783.85,2023-12-20 05:30:00,2968.0,2766.2,2023-12,2946.0,3417739,Conglomerate
ADANIENT,2991.8,2023-12-15 05:30:00,3000.0,2893.9,2023-12,2912.05,4921484,Conglomerate
ADANIENT,2362.7,2023-12-01 05:30:00,2403.35,2354.1,2023-12,2370.0,1792983,Conglomerate
ADANIENT,2808.35,2023-12-22 05:30:00,2847.6,2791.4,2023-12,2815.95,1513956,Conglomerate
ADANIENT,2848.95,2023-12-29 05:30:00,2863.3,2802.85,2023-12,2823.9,1507086,Conglomerate
ADANIENT,2857.65,2023-12-12 05:30:00,2895.95,2840.55,2023-12,2869.1,2017772,Conglomerate
ADANIENT,2865.45,2023-12-26 05:30:00,2893.75,2800.1,2023-12,2817.0,2048484,Conglomerate
ADANIENT,2855.8,2023-12-11 05:30:00,2919.9,2811.05,2023-12,2837.05,5064123,Conglomerate
